# Export File Created with QBlade CE v2.0.9_beta windows on 12.09.2025 at 14:14:58
[Simulation_12: NREL_MIT_5MW_TLP]
Time [s]	NP Wave Elevation [m]
7.4633018e+01	-6.2962073e-01
7.4660507e+01	-6.0212213e-01
7.4687996e+01	-5.7448518e-01
7.4715485e+01	-5.4674548e-01
7.4742973e+01	-5.1894110e-01
7.4770462e+01	-4.9109820e-01
7.4797958e+01	-4.6325368e-01
7.4825447e+01	-4.3545809e-01
7.4852936e+01	-4.0773621e-01
7.4880424e+01	-3.8012064e-01
7.4907913e+01	-3.5265449e-01
7.4935402e+01	-3.2536641e-01
7.4962891e+01	-2.9829296e-01
7.4990379e+01	-2.7146715e-01
7.5017868e+01	-2.4491811e-01
7.5045357e+01	-2.1869637e-01
7.5072845e+01	-1.9280808e-01
7.5100334e+01	-1.6730420e-01
7.5127823e+01	-1.4220829e-01
7.5155312e+01	-1.1754932e-01
7.5182800e+01	-9.3361482e-02
7.5210289e+01	-6.9667876e-02
7.5237778e+01	-4.6500966e-02
7.5265266e+01	-2.3883741e-02
7.5292763e+01	-1.8359609e-03
7.5320251e+01	1.9605719e-02
7.5347740e+01	4.0429011e-02
7.5375229e+01	6.0608171e-02
7.5402718e+01	8.0113158e-02
7.5430206e+01	9.8944932e-02
7.5457695e+01	1.1707238e-01
7.5485184e+01	1.3447191e-01
7.5512672e+01	1.5114823e-01
7.5540161e+01	1.6706906e-01
7.5567650e+01	1.8223666e-01
7.5595139e+01	1.9662641e-01
7.5622627e+01	2.1023217e-01
7.5650116e+01	2.2305310e-01
7.5677605e+01	2.3507427e-01
7.5705093e+01	2.4629556e-01
7.5732582e+01	2.5670734e-01
7.5760078e+01	2.6632008e-01
7.5787567e+01	2.7511045e-01
7.5815056e+01	2.8309780e-01
7.5842545e+01	2.9026973e-01
7.5870033e+01	2.9664272e-01
7.5897522e+01	3.0221611e-01
7.5925011e+01	3.0698499e-01
7.5952499e+01	3.1097069e-01
7.5979988e+01	3.1417960e-01
7.6007477e+01	3.1661528e-01
7.6034966e+01	3.1829044e-01
7.6062454e+01	3.1922308e-01
7.6089943e+01	3.1942099e-01
7.6117432e+01	3.1889915e-01
7.6144920e+01	3.1767559e-01
7.6172409e+01	3.1576234e-01
7.6199898e+01	3.1318349e-01
7.6227386e+01	3.0995435e-01
7.6254883e+01	3.0609351e-01
7.6282372e+01	3.0162242e-01
7.6309860e+01	2.9656535e-01
7.6337349e+01	2.9093915e-01
7.6364838e+01	2.8477198e-01
7.6392326e+01	2.7808896e-01
7.6419815e+01	2.7090758e-01
7.6447304e+01	2.6325786e-01
7.6474792e+01	2.5516364e-01
7.6502281e+01	2.4665360e-01
7.6529770e+01	2.3775467e-01
7.6557259e+01	2.2848894e-01
7.6584747e+01	2.1888854e-01
7.6612236e+01	2.0898168e-01
7.6639725e+01	1.9879641e-01
7.6667213e+01	1.8835606e-01
7.6694702e+01	1.7769915e-01
7.6722198e+01	1.6683671e-01
7.6749687e+01	1.5582550e-01
7.6777176e+01	1.4467004e-01
7.6804665e+01	1.3340895e-01
7.6832153e+01	1.2207063e-01
7.6859642e+01	1.1068114e-01
7.6887131e+01	9.9276155e-02
7.6914619e+01	8.7879740e-02
7.6942108e+01	7.6515079e-02
7.6969597e+01	6.5218121e-02
7.6997086e+01	5.4013237e-02
7.7024574e+01	4.2926338e-02
7.7052063e+01	3.1986937e-02
7.7079552e+01	2.1219358e-02
7.7107040e+01	1.0656792e-02
7.7134529e+01	3.1200796e-04
7.7162018e+01	-9.7808689e-03
7.7189507e+01	-1.9600272e-02
7.7217003e+01	-2.9123070e-02
7.7244492e+01	-3.8326751e-02
7.7271980e+01	-4.7183137e-02
7.7299469e+01	-5.5669948e-02
7.7326958e+01	-6.3775107e-02
7.7354446e+01	-7.1471773e-02
7.7381935e+01	-7.8746103e-02
7.7409424e+01	-8.5573934e-02
7.7436913e+01	-9.1945268e-02
7.7464401e+01	-9.7831942e-02
7.7491890e+01	-1.0322914e-01
7.7519379e+01	-1.0811385e-01
7.7546867e+01	-1.1247152e-01
7.7574356e+01	-1.1629383e-01
7.7601845e+01	-1.1957795e-01
7.7629333e+01	-1.2229528e-01
7.7656822e+01	-1.2443779e-01
7.7684311e+01	-1.2600917e-01
7.7711807e+01	-1.2698509e-01
7.7739296e+01	-1.2736693e-01
7.7766785e+01	-1.2714496e-01
7.7794273e+01	-1.2632148e-01
7.7821762e+01	-1.2488516e-01
7.7849251e+01	-1.2283209e-01
7.7876740e+01	-1.2016314e-01
7.7904228e+01	-1.1687519e-01
7.7931717e+01	-1.1296769e-01
7.7959206e+01	-1.0843059e-01
7.7986694e+01	-1.0328713e-01
7.8014183e+01	-9.7522557e-02
7.8041672e+01	-9.1143973e-02
7.8069160e+01	-8.4155045e-02
7.8096649e+01	-7.6560520e-02
7.8124138e+01	-6.8362698e-02
7.8151627e+01	-5.9575237e-02
7.8179123e+01	-5.0191905e-02
7.8206612e+01	-4.0235981e-02
7.8234100e+01	-2.9708687e-02
7.8261589e+01	-1.8618478e-02
7.8289078e+01	-6.9688857e-03
7.8316566e+01	5.2085547e-03
7.8344055e+01	1.7926449e-02
7.8371544e+01	3.1167658e-02
7.8399033e+01	4.4907190e-02
7.8426521e+01	5.9154212e-02
7.8454010e+01	7.3871762e-02
7.8481499e+01	8.9057833e-02
7.8508987e+01	1.0469824e-01
7.8536476e+01	1.2077685e-01
7.8563965e+01	1.3727690e-01
7.8591454e+01	1.5418613e-01
7.8618942e+01	1.7148243e-01
7.8646431e+01	1.8915896e-01
7.8673927e+01	2.0719376e-01
7.8701416e+01	2.2556405e-01
7.8728905e+01	2.4425697e-01
7.8756393e+01	2.6325798e-01
7.8783882e+01	2.8254446e-01
7.8811371e+01	3.0209750e-01
7.8838860e+01	3.2190055e-01
7.8866348e+01	3.4194243e-01
7.8893837e+01	3.6219117e-01
7.8921326e+01	3.8263685e-01
7.8948814e+01	4.0325695e-01
7.8976303e+01	4.2403233e-01
7.9003792e+01	4.4494560e-01
7.9031281e+01	4.6597564e-01
7.9058769e+01	4.8710847e-01
7.9086258e+01	5.0832415e-01
7.9113747e+01	5.2959263e-01
7.9141243e+01	5.5091310e-01
7.9168732e+01	5.7224590e-01
7.9196220e+01	5.9359187e-01
7.9223709e+01	6.1492044e-01
7.9251198e+01	6.3621426e-01
7.9278687e+01	6.5745622e-01
7.9306175e+01	6.7862749e-01
7.9333664e+01	6.9971800e-01
7.9361153e+01	7.2069466e-01
7.9388641e+01	7.4155414e-01
7.9416130e+01	7.6227534e-01
7.9443619e+01	7.8283453e-01
7.9471107e+01	8.0322278e-01
7.9498596e+01	8.2342154e-01
7.9526085e+01	8.4342146e-01
7.9553574e+01	8.6319286e-01
7.9581062e+01	8.8272345e-01
7.9608551e+01	9.0200460e-01
7.9636047e+01	9.2103171e-01
7.9663536e+01	9.3976098e-01
7.9691025e+01	9.5820129e-01
7.9718513e+01	9.7633129e-01
7.9746002e+01	9.9413937e-01
7.9773491e+01	1.0116104e+00
7.9800980e+01	1.0287331e+00
7.9828468e+01	1.0455012e+00
7.9855957e+01	1.0618936e+00
7.9883446e+01	1.0779022e+00
7.9910934e+01	1.0935212e+00
7.9938423e+01	1.1087371e+00
7.9965912e+01	1.1235365e+00
7.9993401e+01	1.1379162e+00
8.0020889e+01	1.1518583e+00
8.0048378e+01	1.1653615e+00
8.0075867e+01	1.1784216e+00
8.0103355e+01	1.1910226e+00
8.0130852e+01	1.2031627e+00
8.0158340e+01	1.2148298e+00
8.0185829e+01	1.2260230e+00
8.0213318e+01	1.2367352e+00
8.0240807e+01	1.2469581e+00
8.0268295e+01	1.2566881e+00
8.0295784e+01	1.2659223e+00
8.0323273e+01	1.2746563e+00
8.0350761e+01	1.2828902e+00
8.0378250e+01	1.2906135e+00
8.0405739e+01	1.2978307e+00
8.0433228e+01	1.3045430e+00
8.0460716e+01	1.3107343e+00
8.0488205e+01	1.3164203e+00
8.0515694e+01	1.3215898e+00
8.0543182e+01	1.3262482e+00
8.0570671e+01	1.3303936e+00
8.0598167e+01	1.3340272e+00
8.0625656e+01	1.3371480e+00
8.0653145e+01	1.3397628e+00
8.0680634e+01	1.3418742e+00
8.0708122e+01	1.3434803e+00
8.0735611e+01	1.3445843e+00
8.0763100e+01	1.3451935e+00
8.0790588e+01	1.3453141e+00
8.0818077e+01	1.3449455e+00
8.0845566e+01	1.3440902e+00
8.0873055e+01	1.3427588e+00
8.0900543e+01	1.3409522e+00
8.0928032e+01	1.3386862e+00
8.0955521e+01	1.3359632e+00
8.0983009e+01	1.3327782e+00
8.1010498e+01	1.3291467e+00
8.1037987e+01	1.3250861e+00
8.1065475e+01	1.3205875e+00
8.1092972e+01	1.3156699e+00
8.1120461e+01	1.3103375e+00
8.1147949e+01	1.3045945e+00
8.1175438e+01	1.2984589e+00
8.1202927e+01	1.2919357e+00
8.1230415e+01	1.2850308e+00
8.1257904e+01	1.2777586e+00
8.1285393e+01	1.2701280e+00
8.1312881e+01	1.2621428e+00
8.1340370e+01	1.2538238e+00
8.1367859e+01	1.2451653e+00
8.1395348e+01	1.2361974e+00
8.1422836e+01	1.2269145e+00
8.1450325e+01	1.2173340e+00
8.1477814e+01	1.2074698e+00
8.1505302e+01	1.1973231e+00
8.1532791e+01	1.1869115e+00
8.1560287e+01	1.1762393e+00
8.1587776e+01	1.1653266e+00
8.1615265e+01	1.1541765e+00
8.1642754e+01	1.1428047e+00
8.1670242e+01	1.1312206e+00
8.1697731e+01	1.1194280e+00
8.1725220e+01	1.1074511e+00
8.1752708e+01	1.0952909e+00
8.1780197e+01	1.0829569e+00
8.1807686e+01	1.0704589e+00
8.1835175e+01	1.0578152e+00
8.1862663e+01	1.0450214e+00
8.1890152e+01	1.0321095e+00
8.1917641e+01	1.0190653e+00
8.1945129e+01	1.0059100e+00
8.1972618e+01	9.9264896e-01
8.2000107e+01	9.7929943e-01
8.2027596e+01	9.6586263e-01
8.2055092e+01	9.5234364e-01
8.2082581e+01	9.3876266e-01
8.2110069e+01	9.2511082e-01
8.2137558e+01	9.1141760e-01
8.2165047e+01	8.9767158e-01
8.2192535e+01	8.8388544e-01
8.2220024e+01	8.7006891e-01
8.2247513e+01	8.5622770e-01
8.2275002e+01	8.4237140e-01
8.2302490e+01	8.2849288e-01
8.2329979e+01	8.1461251e-01
8.2357468e+01	8.0072600e-01
8.2384956e+01	7.8684384e-01
8.2412445e+01	7.7296543e-01
8.2439934e+01	7.5910199e-01
8.2467422e+01	7.4525017e-01
8.2494911e+01	7.3140836e-01
8.2522400e+01	7.1759659e-01
8.2549896e+01	7.0380044e-01
8.2577385e+01	6.9003659e-01
8.2604874e+01	6.7630410e-01
8.2632362e+01	6.6259676e-01
8.2659851e+01	6.4891797e-01
8.2687340e+01	6.3527119e-01
8.2714828e+01	6.2166071e-01
8.2742317e+01	6.0808128e-01
8.2769806e+01	5.9453946e-01
8.2797295e+01	5.8102751e-01
8.2824783e+01	5.6754893e-01
8.2852272e+01	5.5410248e-01
8.2879761e+01	5.4068691e-01
8.2907249e+01	5.2730459e-01
8.2934738e+01	5.1394635e-01
8.2962227e+01	5.0061798e-01
8.2989716e+01	4.8731080e-01
8.3017212e+01	4.7402984e-01
