# Export File Created with QBlade CE v2.0.9_beta windows on 07.09.2025 at 08:25:42
[Conditions_01: NREL_MIT_5MW_TLP]
Time [s]	NP Pitch Y_l [deg]
3.8099949e+01	3.2444093e-03
3.8127441e+01	4.2576529e-03
3.8154930e+01	5.2928533e-03
3.8182419e+01	6.3470299e-03
3.8209908e+01	7.4170842e-03
3.8237396e+01	8.4997667e-03
3.8264885e+01	9.5917517e-03
3.8292374e+01	1.0689707e-02
3.8319862e+01	1.1790241e-02
3.8347351e+01	1.2889724e-02
3.8374844e+01	1.3984148e-02
3.8402332e+01	1.5069210e-02
3.8429821e+01	1.6140556e-02
3.8457310e+01	1.7194053e-02
3.8484798e+01	1.8225903e-02
3.8512287e+01	1.9232577e-02
3.8539776e+01	2.0210661e-02
3.8567265e+01	2.1156712e-02
3.8594753e+01	2.2067234e-02
3.8622246e+01	2.2938862e-02
3.8649734e+01	2.3768682e-02
3.8677223e+01	2.4554567e-02
3.8704712e+01	2.5295310e-02
3.8732201e+01	2.5990602e-02
3.8759689e+01	2.6640955e-02
3.8787178e+01	2.7247686e-02
3.8814667e+01	2.7812865e-02
3.8842155e+01	2.8339168e-02
3.8869648e+01	2.8829634e-02
3.8897137e+01	2.9287528e-02
3.8924625e+01	2.9716302e-02
3.8952114e+01	3.0119607e-02
3.8979603e+01	3.0501196e-02
3.9007092e+01	3.0864801e-02
3.9034580e+01	3.1214025e-02
3.9062069e+01	3.1552359e-02
3.9089561e+01	3.1883132e-02
3.9117050e+01	3.2209378e-02
3.9144539e+01	3.2533560e-02
3.9172028e+01	3.2857250e-02
3.9199516e+01	3.3180825e-02
3.9227005e+01	3.3503428e-02
3.9254494e+01	3.3823192e-02
3.9281982e+01	3.4137674e-02
3.9309471e+01	3.4444381e-02
3.9336964e+01	3.4741122e-02
3.9364452e+01	3.5026114e-02
3.9391941e+01	3.5297759e-02
3.9419430e+01	3.5554398e-02
3.9446918e+01	3.5793994e-02
3.9474407e+01	3.6014039e-02
3.9501896e+01	3.6211610e-02
3.9529385e+01	3.6383603e-02
3.9556873e+01	3.6527105e-02
3.9584366e+01	3.6639635e-02
3.9611855e+01	3.6719367e-02
3.9639343e+01	3.6765162e-02
3.9666832e+01	3.6776599e-02
3.9694321e+01	3.6753997e-02
3.9721809e+01	3.6698379e-02
3.9749298e+01	3.6611348e-02
3.9776787e+01	3.6494922e-02
3.9804276e+01	3.6351316e-02
3.9831768e+01	3.6182854e-02
3.9859257e+01	3.5992067e-02
3.9886745e+01	3.5781976e-02
3.9914234e+01	3.5556439e-02
3.9941723e+01	3.5320401e-02
3.9969212e+01	3.5079923e-02
3.9996700e+01	3.4842040e-02
4.0024189e+01	3.4614455e-02
4.0051678e+01	3.4405123e-02
4.0079170e+01	3.4221768e-02
4.0106659e+01	3.4071408e-02
4.0134148e+01	3.3960059e-02
4.0161636e+01	3.3892687e-02
4.0189125e+01	3.3873290e-02
4.0216614e+01	3.3905108e-02
4.0244102e+01	3.3990696e-02
4.0271591e+01	3.4131937e-02
4.0299084e+01	3.4329910e-02
4.0326572e+01	3.4584813e-02
4.0354061e+01	3.4895975e-02
4.0381550e+01	3.5261959e-02
4.0409039e+01	3.5680737e-02
4.0436527e+01	3.6149766e-02
4.0464016e+01	3.6666051e-02
4.0491505e+01	3.7226249e-02
4.0518993e+01	3.7826844e-02
4.0546486e+01	3.8464416e-02
4.0573975e+01	3.9135791e-02
4.0601463e+01	3.9838038e-02
4.0628952e+01	4.0568214e-02
4.0656441e+01	4.1322965e-02
4.0683929e+01	4.2098276e-02
4.0711418e+01	4.2889416e-02
4.0738907e+01	4.3691218e-02
4.0766396e+01	4.4498462e-02
4.0793888e+01	4.5306258e-02
4.0821377e+01	4.6110276e-02
4.0848866e+01	4.6906713e-02
4.0876354e+01	4.7692101e-02
4.0903843e+01	4.8463076e-02
4.0931332e+01	4.9216270e-02
4.0958820e+01	4.9948376e-02
4.0986309e+01	5.0656330e-02
4.1013798e+01	5.1337522e-02
4.1041290e+01	5.1990047e-02
4.1068779e+01	5.2612834e-02
4.1096268e+01	5.3205792e-02
4.1123756e+01	5.3769741e-02
4.1151245e+01	5.4306194e-02
4.1178734e+01	5.4817066e-02
4.1206223e+01	5.5304363e-02
4.1233711e+01	5.5770073e-02
4.1261200e+01	5.6216173e-02
4.1288692e+01	5.6644741e-02
4.1316181e+01	5.7057932e-02
4.1343670e+01	5.7457831e-02
4.1371159e+01	5.7845999e-02
4.1398647e+01	5.8223069e-02
4.1426136e+01	5.8588561e-02
4.1453625e+01	5.8941003e-02
4.1481113e+01	5.9278172e-02
4.1508606e+01	5.9597328e-02
4.1536095e+01	5.9895344e-02
4.1563583e+01	6.0168818e-02
4.1591072e+01	6.0414325e-02
4.1618561e+01	6.0628794e-02
4.1646049e+01	6.0809787e-02
4.1673538e+01	6.0955558e-02
4.1701027e+01	6.1064873e-02
4.1728516e+01	6.1136603e-02
4.1756008e+01	6.1169215e-02
4.1783497e+01	6.1160304e-02
4.1810986e+01	6.1106279e-02
